Item,Quantity,Location
Rice 5kg Bags,20,Galley Store
Mineral Water Bottles,100,Pantry Storage
Cooking Oil Cans,10,Kitchen Bay
Frozen Meat Boxes,25,Cold Storage Unit
Toilet Paper Rolls,200,Hygiene Section
Cleaning Liquid Bottles,30,Cleaning Supplies
Batteries AA,50,Bridge Equipment
Nuts and Bolts Packs,15,Workshop Shelf
Paint Cans,8,Maintenance Room
First Aid Kits,5,Medical Locker
Drinking Water (Bottled),1000 Litres,Deck Store
Canned Tuna,500 Cans,Galley
Frozen Vegetables,200 kg,Cold Storage
First Aid Kits,15 Kits,Medical Bay
Engine Oil,150 Litres,Engine Room
Rice Bags,300 kg,Pantry
Fire Extinguishers,10 Units,Main Deck
Tool Kits,5 Sets,Workshop
Diesel Fuel,2000 Litres,Fuel Tank
Cleaning Supplies,10 Boxes,Utility Room
